data_index,hex,cluster
1109,#0F3460,3003
1110,#E94560,1121
1111,#11CBD7,1824
1112,#C6F1E7,1246
1113,#F0FFF3,1263
1114,#FA4659,112
1115,#6C4A4A,2448
1116,#C89595,337
1117,#DDBEBE,3401
1118,#383E56,958
1119,#F69E7B,3657
1120,#EEDAD1,214
1121,#D4B5B0,1440
1122,#FFFFC2,117
1123,#C8E7ED,899
1124,#BFCFFF,1975
1125,#CCD6A6,2774
1126,#DAE2B6,1713
1127,#DFE8CC,1923
1128,#F7EDDB,3665
1129,#F0E9D2,556
1130,#E6DDC4,602
1131,#678983,2202
1132,#181D31,1662
1133,#F4F3F3,3659
1134,#DFDFDF,33
1135,#BFD8D5,2486
1136,#B1BED5,2711
1137,#FFEEDB,3665
1138,#FFD8CC,357
1139,#FFBD9B,793
1140,#0A1D37,562
1141,#34626C,1894
1142,#839B97,3447
1143,#CFD3CE,1601
1144,#C6B497,242
1145,#F5F0BB,3691
1146,#C4DFAA,293
1147,#90C8AC,1180
1148,#73A9AD,2434
1149,#261C2C,800
1150,#3E2C41,561
1151,#5C527F,925
1152,#6E85B2,1819
1153,#FFFAFA,152
1154,#FFE0E0,70
1155,#FFC0D0,991
1156,#EFDFBF,596
1157,#907FA4,1269
1158,#A58FAA,610
1159,#A6D6D6,2517
1160,#EDEDD0,556
1161,#EAAFAF,148
1162,#A2738C,1499
1163,#645C84,1921
1164,#427996,1290
1165,#8E3200,2818
1166,#A64B2A,1879
1167,#D7A86E,2577
1168,#FFEBC1,637
1169,#FF4646,742
1170,#FF8585,3685
1171,#FFB396,3675
1172,#FFF5C0,117
1173,#150050,11
1174,#3F0071,327
1175,#610094,274
1176,#FFDADA,70
1177,#DBF6E9,2289
1178,#9DDFD3,1231
1179,#31326F,256
1180,#C8C6A7,1761
1181,#92967D,1214
1182,#6E7C7C,2065
1183,#435560,3568
1184,#F0E9E9,539
1185,#C19191,2382
1186,#AA7070,2940
1187,#8B5D5D,540
1188,#75CFB8,1473
1189,#BBDFC8,679
1190,#F0E5D8,602
1191,#FFC478,27
1192,#3A0088,1861
1193,#930077,846
1194,#E61C5D,477
1195,#FFBD39,10
